ID,Name,Price_Numeric,Brand
1,"Blue Top",500,"Polo"
2,"Men Tshirt",400,"H&M"
3,"Sleeveless Dress",1000,"Madame"
4,"Stylish Dress",1500,"Madame"
5,"Winter Top",600,"Mast & Harbour"
6,"Summer White Top",400,"H&M"
7,"Madame Top For Women",1000,"Madame"
8,"Fancy Green Top",700,"Polo"
11,"Sleeves Printed Top - White",499,"Babyhug"
12,"Half Sleeves Top Schiffli Detailing - Pink",359,"Babyhug"
13,"Frozen Tops For Kids",278,"Allen Solly Junior"
14,"Full Sleeves Top Cherry - Pink",679,"Kookie Kids"
15,"Printed Off Shoulder Top - White",315,"Babyhug"
16,"Sleeves Top and Short - Blue & Pink",478,"Babyhug"
18,"Little Girls Mr. Panda Shirt",1200,"Kookie Kids"
19,"Sleeveless Unicorn Patch Gown - Pink",1050,"Allen Solly Junior"
20,"Cotton Mull Embroidered Dress",1190,"Kookie Kids"
21,"Blue Cotton Indie Mickey Dress",1530,"Biba"
22,"Long Maxi Tulle Fancy Dress Up Outfits -Pink",1600,"Biba"
23,"Sleeveless Unicorn Print Fit & Flare Net Dress - Multi",1100,"Biba"
24,"Colour Blocked Shirt – Sky Blue",849,"Allen Solly Junior"
28,"Pure Cotton V-Neck T-Shirt",1299,"H&M"
29,"Green Side Placket Detail T-Shirt",1000,"Polo"
30,"Premium Polo T-Shirts",1500,"Polo"
31,"Pure Cotton Neon Green Tshirt",850,"H&M"
33,"Soft Stretch Jeans",799,"Polo"
35,"Regular Fit Straight Jeans",1200,"H&M"
37,"Grunt Blue Slim Fit Jeans",1400,"Polo"
38,"Rose Pink Embroidered Maxi Dress",2300,"Madame"
39,"Cotton Silk Hand Block Print Saree",3000,"Biba"
40,"Rust Red Linen Saree",3500,"Biba"
41,"Beautiful Peacock Blue Cotton Linen Saree",5000,"Madame"
42,"Lace Top For Women",1400,"Mast & Harbour"
43,"GRAPHIC DESIGN MEN T SHIRT - BLUE",1389,"Mast & Harbour"
